[2020.05.12 22:19] Канал:cryo_0 Ник:dirhass	Сообщение:не зависимых друг от друга
[2020.05.12 22:20] Канал:cryo_0 Ник:dirhass	Сообщение:а я ска умный но я даже не знаю как это работает LUL
[2020.05.12 22:21] Канал:cryo_0 Ник:dirhass	Сообщение:это вс качели
[2020.05.12 22:21] Канал:cryo_0 Ник:dirhass	Сообщение:зацепился за факел
[2020.05.12 22:31] Канал:cryo_0 Ник:dirhass	Сообщение:кст надо бы новое уфо пройти
[2020.05.12 22:31] Канал:cryo_0 Ник:dirhass	Сообщение:тоже серия игр не плохая
[2020.05.12 22:31] Канал:cryo_0 Ник:dirhass	Сообщение:XCOM Chimera Squad
[2020.05.12 22:31] Канал:cryo_0 Ник:dirhass	Сообщение:ну ты чё NotLikeThis
[2020.05.12 22:32] Канал:cryo_0 Ник:dirhass	Сообщение:изначально это была уфо
[2020.05.12 22:32] Канал:cryo_0 Ник:dirhass	Сообщение:а не xcom
[2020.05.12 22:32] Канал:cryo_0 Ник:dirhass	Сообщение:первая игра именно уфо
[2020.05.12 22:32] Канал:cryo_0 Ник:dirhass	Сообщение:ой не помню ща чекну
[2020.05.12 22:45] Канал:cryo_0 Ник:dirhass	Сообщение:могут быть проблемы
[2020.05.12 22:46] Канал:cryo_0 Ник:dirhass	Сообщение:я уже забыл когда я хотя бы половину открывал
[2020.05.12 23:17] Канал:cryo_0 Ник:desmond_hh	Сообщение:Ну, у тебя все тянки красивые в сборке
[2020.05.12 23:18] Канал:cryo_0 Ник:dirhass	Сообщение:у меня она другая так что пофиг
[2020.05.12 23:18] Канал:cryo_0 Ник:dirhass	Сообщение:да переделанная
[2020.05.15 15:10] Канал:cryo_0 Ник:cryo_0	Сообщение:roflanEbalo
[2020.05.15 15:11] Канал:cryo_0 Ник:cryo_0	Сообщение:TehePelo
[2020.05.15 15:11] Канал:cryo_0 Ник:cryo_0	Сообщение:KEKW
[2020.05.15 15:48] Канал:cryo_0 Ник:cryo_0	Сообщение:sadKEK
[2020.05.15 15:49] Канал:cryo_0 Ник:cryo_0	Сообщение:roflanEbalo
[2020.05.15 15:49] Канал:cryo_0 Ник:cryo_0	Сообщение:GabeN
[2020.05.15 15:50] Канал:cryo_0 Ник:cryo_0	Сообщение:FacePalm
[2020.05.15 15:51] Канал:cryo_0 Ник:cryo_0	Сообщение:RPGStaff
[2020.05.15 15:51] Канал:cryo_0 Ник:cryo_0	Сообщение:BisexualPride
[2020.05.15 15:52] Канал:cryo_0 Ник:cryo_0	Сообщение:sadKEK
[2020.05.15 15:52] Канал:cryo_0 Ник:cryo_0	Сообщение:ManChicken
